RCA;Asphalt;Additive;TR;HD;WC;OD;GW;SM;AC;EU;CA;NCA;RE;EC;FFD
0;4.5;0.25;10;0;4;5156;24508;998;154;13284;179;1264;11795;38201;46279
0;4.5;0.25;10;50;1;3209;15269;626;96;8296;113;798;7350;24061;28943
0;4.5;0.25;10;50;2;3858;18349;750;116;9959;135;954;8832;28774;34722
0;4.5;0.25;10;50;3;4507;21428;874;135;11621;157;1109;10313;33487;40500
0;4.5;0.25;10;50;4;5156;24508;998;154;13284;179;1264;11795;38201;46279
0;4.5;0.25;10;100;1;3209;15269;626;96;8296;113;798;7350;24061;28943
0;4.5;0.25;10;100;2;3858;18349;750;116;9959;135;954;8832;28774;34722
0;4.5;0.25;10;100;3;4507;21428;874;135;11621;157;1109;10313;33487;40500
0;4.5;0.25;10;100;4;5156;24508;998;154;13284;179;1264;11795;38201;46279
0;4.5;0.25;10;150;1;3209;15269;626;96;8296;113;798;7350;24061;28943
0;4.5;0.25;10;150;2;3858;18349;750;116;9959;135;954;8832;28774;34722
